papel,admin.access,catalog.read,catalog.write,content.read,content.write,content.publish,quotation.read,media.review,settings.write,users.manage,audit.read
ADMINISTRADOR,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
GESTOR_DE_CATALOGO,sim,sim,sim,nao,nao,nao,nao,sim,nao,nao,nao
EDITOR,sim,nao,nao,sim,sim,sim,nao,sim,nao,nao,nao
AUTOR,sim,nao,nao,sim,sim,nao,nao,nao,nao,nao,nao
REVISOR_TECNICO,sim,sim,nao,sim,nao,nao,nao,nao,nao,nao,nao
COMERCIAL,sim,sim,nao,nao,nao,nao,sim,nao,nao,nao,nao
AUDITOR,sim,sim,nao,sim,nao,nao,nao,nao,nao,nao,sim
